Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44600621,"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,"Wong, Ali",Justin Hakuta,"=""052550883X""","=""9780525508830""",5,3.84,Random House,Hardcover,240,2019,2019,2022/03/14,2022/03/14,,,read,,,,1,0
57717410,The 1619 Project: A New Origin Story,Nikole Hannah-Jones,"Hannah-Jones, Nikole",The New York Times Magazine,"=""0593230574""","=""9780593230572""",5,4.61,One World,Hardcover,590,2021,2019,2022/03/17,2022/03/10,,,read,,,,1,0
57145833,My Body,Emily Ratajkowski,"Ratajkowski, Emily",,"=""1250817862""","=""9781250817860""",0,3.99,Metropolitan Books,Hardcover,239,2021,2021,2022/03/03,2022/03/10,,,read,,,,1,0
57648017,The Storyteller: Tales of Life and Music,Dave Grohl,"Grohl, Dave",,"=""0063076098""","=""9780063076099""",0,4.44, Dey Street Books ,Hardcover,384,2021,2021,2022/03/10,2022/03/10,,,read,,,,1,0
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878107""","=""9781984878106""",5,4.13,Viking Books,Hardcover,307,2021,2021,2022/02/25,2022/02/18,,,read,,,,1,0
22318578,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Kondō, Marie",,"=""1607747308""","=""9781607747307""",5,3.88,Ten Speed Press,Hardcover,224,2014,2010,2022/01/10,2022/02/18,,,read,"I pride myself on being organized and having a place for everything in my home. This book gave me a new perspective on how I cultivate my environment, what I surround myself with, and appreciating what each item brings or doesn't bring to my life. Grounding, thoughtful, and sparking gratitude. I was surprised at how much I liked this book!",,,1,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",5,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,2022/01/29,2022/02/18,,,read,,,,1,0
34427200,"The Four: The Hidden DNA of Amazon, Apple, Facebook, and Google",Scott Galloway,"Galloway, Scott",,"=""0735213658""","=""9780735213654""",4,3.83,Portfolio,Hardcover,320,2017,2017,2022/02/11,2022/02/18,,,read,This book needs an edit/update and the audio version should be read by the author. Why are you keeping The Dog from us???,,,1,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""1524763136""","=""9781524763138""",5,4.44,Crown,Hardcover,448,2018,2018,2022/02/18,2022/02/18,,,read,,,,1,0
52626691,See No Stranger: A Memoir and Manifesto of Revolutionary Love,Valarie Kaur,"Kaur, Valarie",,"=""0525509097""","=""9780525509097""",5,4.53,One World,Hardcover,389,2020,2020,,2021/10/21,,,read,,,,1,0
49247043,This Is How They Tell Me the World Ends: The Cyberweapons Arms Race,Nicole Perlroth,"Perlroth, Nicole",,"=""1635576059""","=""9781635576054""",5,4.32,Bloomsbury Publishing,Hardcover,528,2021,2021,,2021/10/14,,,read,,,,1,0
136975,Getting Unstuck: Breaking Your Habitual Patterns & Encountering Naked Reality,Pema Chödrön,"Chödrön, Pema",,"=""159179238X""","=""9781591792383""",5,4.22,Sounds True,Audio CD,3,2005,2004,,2021/09/17,,,read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",5,3.98,Viking,Hardcover,288,2020,2020,,2021/09/17,,,read,,,,1,0
55272232,The Menopause Manifesto: Own Your Health with Facts and Feminism,Jen Gunter,"Gunter, Jen",,"=""0806540664""","=""9780806540665""",5,4.06,Kensington,Paperback,400,2021,2021,,2021/09/17,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1946,,2021/07/14,,,read,,,,1,0
52863343,Real Change: Mindfulness to Heal Ourselves and the World,Sharon Salzberg,"Salzberg, Sharon",,"=""1250310571""","=""9781250310576""",5,4.07,Flatiron Books,Hardcover,240,2020,,2021/06/23,2021/06/23,,,read,"This book is for folks that volunteer and overextend themselves in the service of others. Excellent help on managing anger at the injustices of the world, taking care of yourself to prevent burnout, and applying equanimity to prevent overwhelmed distress. Simple easy meditation exercises at the end of each chapter help you learn to practice each technique.",,,1,0
23215490,"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,"Morin, Amy",,"=""0062391542""","=""9780062391544""",4,3.91,William Morrow,Hardcover,272,2014,2014,,2021/06/23,,,read,,,,1,0
13158800,The Light Between Oceans,M.L. Stedman,"Stedman, M.L.",,"=""1451681739""","=""9781451681734""",4,4.04,Scribner,Hardcover,362,2012,2012,,2021/06/23,,,read,,,,1,0
15451058,My Life on the Road,Gloria Steinem,"Steinem, Gloria",,"=""0679456201""","=""9780679456209""",5,4.07,Random House,Hardcover,276,2015,2015,,2021/06/23,,,read,,,,1,0
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""0670785938""","=""9780670785933""",5,4.36,Viking,Hardcover,464,2014,2014,,2021/06/23,,,read,,,,1,0
31926503,Girls Who Code: Learn to Code and Change the World,Reshma Saujani,"Saujani, Reshma",,"=""0753557606""","=""9780753557600""",4,4.06,RHUK,Paperback,176,2017,2017,,2021/06/23,,,read,,,,1,0
2097984,The Hidden Messages in Water,Masaru Emoto,"Emoto, Masaru",David A. Thayne,"=""1582701148""","=""9781582701141""",4,4.24,Beyond Words Pub Co,Paperback,160,2004,2001,,2021/06/23,,,read,,,,1,0
192312,Ask Again Later,Jill A. Davis,"Davis, Jill A.",,"=""0060875968""","=""9780060875961""",3,3.02,Ecco,Hardcover,256,2007,2007,,2021/06/23,,,read,,,,1,0
15814878,The Little Book of Energy Medicine: The Essential Guide to Balancing Your Body's Energies,Donna Eden,"Eden, Donna",Dondi Dahlin,"=""1585429317""","=""9781585429318""",4,4.38,Tarcher,Paperback,84,2012,2012,,2021/06/23,,,read,,,,1,0
40364335,"Brave, Not Perfect: Fear Less, Fail More, and Live Bolder",Reshma Saujani,"Saujani, Reshma",,"=""1524762334""","=""9781524762339""",5,3.87,Crown Currency,Hardcover,208,2019,2019,,2021/06/23,,,read,,,,1,0
23513349,Milk and honey,Rupi Kaur,"Kaur, Rupi",,"=""1502784270""","=""9781502784278""",5,3.96,Createspace Independent Pub,Paperback,204,2014,2014,,2021/06/23,,,read,,,,1,0
