Title,Authors,Description,First Day On List,Highest Rank,Weeks On List
RELENTLESS STRIKE,Sean Naylor,"The inside story of Joint Special Operations Command, the military’s premier weapon in the war against terror.",2015-09-20,12,1
RESISTANCE IS FUTILE!,Ann Coulter,The conservative commentator defines what she sees as liberal overreaction to President Trump and his policies.,2018-09-09,14,1
RICHARD NIXON,John A. Farrell,A new biography focuses on Nixon’s contradictions and his descent into paranoia and delusion.,2017-04-16,14,1
RIGHTFUL HERITAGE,Douglas Brinkley,"A historian depicts Franklin D. Roosevelt as a great environmental president who created state parks,scenic highways and wildlife refuges; protected national parks; and established the Civilian Conservation Corps.",2016-04-03,12,1
RISE AND KILL FIRST,Ronen Bergman,"A history of Israel’s targeted assassination programs, with accounts from current and former members of the Israeli government.",2018-02-18,7,1
RISING STAR,David J. Garrow,"A critical biography of Barack Obama, particularly focusing on his formative years.",2017-05-28,14,1
ROBIN,Dave Itzkoff,A New York Times journalist details the career and struggles of the actor and comedian Robin Williams.,2018-06-03,7,2
ROOM TO DREAM,David Lynch and Kristine McKenna,"Part memoir, part biography about the life and work of the auteur David Lynch.",2018-07-08,14,1
ROSEMARY,Kate Clifford Larson,The tragic story of the Kennedys’ intellectually disabled oldest daughter.,2015-10-25,6,3
RUSSIAN ROULETTE,Michael Isikoff and David Corn,"Details of the 2016 presidential election, with an emphasis on Russia's possible involvement.",2018-04-01,1,8
RUTHLESS,Ron Miscavige with Dan Koon,The father of Scientology's leader criticizes his management of the organization.,2016-05-22,12,1
SACRED DUTY,Tom Cotton,The veteran and Republican senator from Arkansas describes the services enacted by the Army unit known as the Old Guard.,2019-06-02,8,3
SAM HOUSTON AND THE ALAMO AVENGERS,Brian Kilmeade,"The ""Fox & Friends” host gives an account of the battle against the Mexican Army in 1836.",2019-11-24,2,6
SAVE ME THE PLUMS,Ruth Reichl,A memoir by the former restaurant critic of The New York Times and editor in chief of Gourmet.,2019-04-28,8,3
SAVING CAPITALISM,Robert B. Reich,"The former secretary of labor in the Clinton administration, now a professor of public policy, considers how to reverse income inequality.",2015-10-18,8,2
SAY NOTHING,Patrick Radden Keefe,A look at the conflict in Northern Ireland known as the Troubles.,2019-03-17,7,6
SCALIA SPEAKS,Antonin Scalia,"Speeches given by the influential Supreme Court associate justice, who died in 2016.",2017-10-22,15,1
SCIENCE IN THE SOUL,Richard Dawkins,"A collection of annotated essays by the evolutionary biologist in defense of science, reason and empirical evidence.",2017-09-03,13,1
SCORCHED EARTH,Michael Savage,The radio host discusses what will happen after the administration of “President Maobama.”,2016-10-02,4,3
SCRAPPY LITTLE NOBODY,Anna Kendrick,Autobiographical essays by the young actress.,2016-12-04,5,3
SEA STORIES,William H. McRaven,"A memoir by the retired four-star Navy admiral, including the capture of Saddam Hussein and the raid to kill Osama bin Laden.",2019-06-09,4,7
SECRET EMPIRES,Peter Schweizer,The author of “Clinton Cash” describes what some politicians might do to enrich themselves while in office.,2018-04-08,2,5
SEINFELDIA,Jennifer Keishin Armstrong,"A history of the popular and influential sitcom, which ran from 1989 to 1998.",2016-07-24,13,3
SETTLE FOR MORE,Megyn Kelly,The anchor of Fox News’s “The Kelly File” discusses the personal and professional challenges she has faced.,2016-12-04,1,8
SHADE,Pete Souza,"The former White House photographer juxtaposes pictures of former President Obama with tweets, headlines and quotes from the Trump administration.",2018-11-04,1,12
SHAMELESS,Nadia Bolz-Weber,A modern-day pastor calls for a reformation of Christian messaging about sex.,2019-02-17,11,1
SHATTERED,Jonathan Allen and Amie Parnes,An examination of Hillary Clinton’s presidential campaign.,2017-05-07,2,8
SHE SAID,Jodi Kantor and Megan Twohey,Two reporters for The New York Times recount their investigation into Harvey Weinstein’s alleged abuses of power and the subsequent global disclosure of women’s traumatic stories.,2019-09-29,6,3
SHIP OF FOOLS,Tucker Carlson,The Fox News anchor argues that America’s ruling class is out of touch with everyday citizens.,2018-10-21,1,13
SHORTEST WAY HOME,Pete Buttigieg,"A memoir by the current mayor of South Bend, Ind., and the first openly gay Democratic candidate to run for president of the United States.",2019-03-03,5,8
SICK IN THE HEAD,Judd Apatow,Thirty years’ worth of the filmmaker’s interviews with comedians.,2015-07-05,5,10
SIEGE,Michael Wolff,The author of “Fire and Fury” weaves a story of the second year of the Trump White House.,2019-06-23,4,3
SIGNS,Laura Lynne Jackson,A medium details potential ways the deceased may speak to us through everyday events.,2019-08-18,14,1
SILVER SCREEN FIEND,Patton Oswalt,The actor and writer’s memoir describes his “addiction” to classic films at the New Beverly Cinema in Los Angeles as he learned to be a stand-up comedian in the late 1990s.,2015-01-25,11,1
SISTERS FIRST,Jenna Bush Hager and Barbara Pierce Bush,How the twin daughters of former president George W. Bush grew up in the public eye.,2017-11-12,2,9
SISTERS IN LAW,Linda Hirshman,"The lives and jurisprudence of Sandra Day O’Connor and Ruth Bader Ginsburg, the first women on the Supreme Court.",2015-09-20,11,1
SMALL FRY,Lisa Brennan-Jobs,"A memoir about the author's difficult relationship with her father, Steve Jobs.",2018-09-23,6,2
SMALL VICTORIES,Anne Lamott,"Essays about forgiveness, transformation and grace.",2015-01-04,11,12
SMARTER FASTER BETTER,Charles Duhigg,"The science of productivity, from the author of “The Power of Habit.”",2016-03-27,4,8
SO ANYWAY . . .,John Cleese,"A memoir by the comedian, actor and writer, a former member of the Monty Python troupe.",2015-01-04,14,6
SO YOU'VE BEEN PUBLICLY SHAMED,Jon Ronson,The Welsh journalist describes the phenomenon of social media denunciation.,2015-04-19,12,1
SONGS OF AMERICA,Jon Meacham and Tim McGraw,Pulitzer Prize winner Jon Meacham and Grammy Award winner Tim McGraw explore how America was shaped by music.,2019-06-30,2,5
SOUNDS LIKE ME,Sara Bareilles,A memoir by the singer and songwriter.,2015-10-25,13,1
SOUTH AND WEST,Joan Didion,Notebook excerpts about a Southern road trip and Patty Hearst’s trial.,2017-03-26,9,2
SPAIN IN OUR HEARTS,Adam Hochschild,Americans who fought in and wrote about the Spanish Civil War.,2016-04-17,10,2
SPEARHEAD,Adam Makos,"An American tank gunner faces enemies in Cologne, Germany, during World War II.",2019-03-10,4,5
SPQR,Mary Beard,A concise history of ancient Rome.,2015-12-06,9,9
SPRING CHICKEN,Bill Gifford,"A review of the science of — and myths about — aging, and advice on how to live longer.",2015-03-15,8,2
SPYING ON THE SOUTH,Tony Horwitz,A retracing of Frederick Law Olmsted's time as an undercover correspondent during the 1850s in the South for The New York Times and one of the designers of Central Park.,2019-06-09,12,2
STONY THE ROAD,Henry Louis Gates Jr,"The fight for Reconstruction's promise, the terror ignited by Jim Crow segregation and its modern reverberations.",2019-04-28,14,1
STOP MASS HYSTERIA,Michael Savage,The conservative commentator uses the Salem Witch Trials and the Red Scares of the early 20th century to contextualize criticisms of President Trump.,2018-10-28,11,1
STRANGER THINGS: WORLDS TURNED UPSIDE DOWN,Gina Mcintyre,A behind-the-scenes companion guide to the first two seasons of the Netflix series.,2018-12-09,14,1
STRANGERS IN THEIR OWN LAND,Arlie Russell Hochschild,The Berkeley sociologist interviews members of the Tea Party in Louisiana.,2016-11-27,13,2
SUICIDE OF THE WEST,Jonah Goldberg,A senior editor at National Review assesses issues plaguing the left and the right.,2018-05-13,5,2
SUPER PUMPED,Mike Isaac,"A technology reporter for The New York Times chronicles the rise and fall of Uber, and how this serves as a corporate cautionary tale.",2019-09-22,13,1
SUPERFICIAL,Andy Cohen,"The further adventures of the TV producer (""Watch What Happens: Live"" and the ""Real Housewives"" franchise) and personality.",2016-12-04,8,2
TAILSPIN,Steven Brill,"A look at how American values and democracy have deteriorated, and the people and institutions seeking to reverse this.",2018-06-17,8,1
TALKING AS FAST AS I CAN,Lauren Graham,Essays by the star of “Gilmore Girls” (both the original and the mini-series) and “Parenthood.”,2016-12-18,3,6
TALKING TO STRANGERS,Malcolm Gladwell,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,2019-09-29,1,14
TEAM OF VIPERS,Cliff Sims,The former special assistant to President Trump recalls what he considers his successes and failures in the White House.,2019-02-17,4,3
TEARS WE CANNOT STOP,Michael Eric Dyson,A frank and searing discussion of race.,2017-02-05,6,6
TELL ME MORE,Kelly Corrigan,A dozen essays based on short phrases that have defined some of the memoir writer's close relationships.,2018-01-28,11,1
TESTIMONY,Robbie Robertson,A memoir by the guitarist and principal songwriter of the Band.,2016-12-04,16,1
TEXAS FLOOD,Alan Paul and Andy Aledort,"A biography of Stevie Ray Vaughan, the influential blues guitarist and musician who died in a helicopter crash in 1990 at the age of 35.",2019-09-01,12,1
THANK YOU FOR MY SERVICE,Mat Best with Ross Patterson and Nils Parker,An inside look into military life by the YouTube personality and former Army Ranger.,2019-09-08,5,3
"THANKS, OBAMA",David Litt,"A comic memoir from a young presidential speechwriter, who served in the Obama White House.",2017-10-15,14,1
THE AGE OF EISENHOWER,William I. Hitchcock,"A history of the 34th president of the United States, who faced bitter partisanship.",2018-04-08,15,1
THE AMERICAN SPIRIT,David McCullough,"A collection of speeches by the Pulitzer Prize-winning historian, focused on American values.",2017-05-07,6,10
THE ANDY COHEN DIARIES,Andy Cohen,"One year in the (social) life of the TV producer and host of ""Watch What Happpens Live.""",2015-01-04,8,9
THE ART OF MEMOIR,Mary Karr,"The author of “The Liars’ Club,”  “Cherry” and “Lit” offers instruction in memoir-writing and discusses her favorite writers’ work.",2015-10-04,3,3
THE ASSAULT ON INTELLIGENCE,Michael V. Hayden,A former director of the N.S.A. and the C.I.A. identifies domestic and international threats to the American intelligence community.,2018-05-20,8,2
THE AUTOBIOGRAPHY OF GUCCI MANE,Gucci Mane with Neil Martinez-Belkin,"A memoir by the East Atlanta hip-hop artist, who made a comeback.",2017-10-08,4,5
THE BEAUTIFUL ONES,Prince,"A memoir by the musician written before his death, with photos and other memorabilia showing his evolution.",2019-11-17,1,7
THE BENEDICT OPTION,Rod Dreher,"An argument that, rather than engaging in politics, Christians should withdraw from mainstream culture and focus on strengthening their families, churches and schools.",2017-04-02,7,1
THE BEST COOK IN THE WORLD,Rick Bragg,A tribute to the author's mother and the recipes she used that were handed down over generations.,2018-05-13,11,3
THE BIG LIE,Dinesh D'Souza,The conservative commentator argues that the American left is a fascist threat.,2017-08-20,7,6
THE BILLION DOLLAR SPY,David E. Hoffman,"A Pulitzer Prize-winning journalist's biography of Adolf Tolkachev, who spied for the United States inside the Soviet Union.",2015-07-26,13,4
THE BLOOD OF EMMETT TILL,Timothy B. Tyson,An account of the shocking 1955 lynching presents new evidence.,2017-02-19,13,1
THE BODY,Bill Bryson,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",2019-11-03,7,9
THE BOOK OF GUTSY WOMEN,Hillary Rodham Clinton and Chelsea Clinton,Profiles of women from around the world who have blazed trails and challenged the status quo.,2019-10-20,2,9
THE BOOK OF JOAN,Melissa Rivers,"A memoir of life, often uproarious, with the comedian Joan Rivers, written by her daughter.",2015-05-24,6,3
THE BOOK OF JOY,the Dalai Lama and Desmond Tutu with Douglas Abrams,Two spiritual leaders discuss how to find joy in the face of suffering.,2016-10-09,3,37
THE BRAIN'S WAY OF HEALING,Norman Doidge,"Doctors and patients who make use of neuroplasticity, the brain’s ability to heal.",2015-02-22,14,1
THE BRIEFING,Sean Spicer,"A personal account of working for Trump's campaign, transition team and the Trump White House.",2018-08-12,13,1
THE BRITISH ARE COMING,Rick Atkinson,The Pulitzer Prize-winning historian and journalist begins his Revolution Trilogy with events from 1775 to 1777.,2019-06-02,5,11
THE CASE AGAINST IMPEACHING TRUMP,Alan Dershowitz,Arguments from the noted lawyer and political commentator.,2018-07-29,13,1
THE CASE FOR TRUMP,Victor Davis Hanson,A defense stating that the current president adopted several traditional conservative positions.,2019-03-24,2,5
THE CHAPO GUIDE TO REVOLUTION,Chapo Trap House,The podcasters present a satirical guide to American politics and culture.,2018-09-09,6,1
THE CODDLING OF THE AMERICAN MIND,Greg Lukianoff and Jonathan Haidt,An investigation of cultural trends that the authors argue are failing the next generation.,2018-09-23,8,4
THE COMMON GOOD,Robert B. Reich,A case for strengthening public morality in the United States.,2018-03-11,15,1
THE CONSERVATIVE HEART,Arthur C. Brooks,The president of the American Enterprise Institute urges conservatives to revise their rhetoric and make clear their concern for everyday people.,2015-08-02,8,3
THE CONSERVATIVE SENSIBILITY,George F. Will,The Pulitzer Prize-winning columnist describes what he considers to be threats to conservatism.,2019-06-23,12,2
THE COURT AND THE WORLD,Stephen Breyer,The Supreme Court justice explores the work of the court in an interconnected world.,2015-10-04,15,1
THE DAILY SHOW (THE BOOK),Chris Smith,"An oral history of the show, based on extensive interviews with Jon Stewart and others.",2016-12-11,11,4
THE DANGEROUS CASE OF DONALD TRUMP,Bandy X. Lee,27 psychiatrists and mental health experts give their assessments of the president.,2017-10-22,6,6
THE DEATH OF TRUTH,Michiko Kakutani,The former New York Times chief book critic examines the cultural forces that have chipped away at reason and common values.,2018-08-05,10,3
THE DEEP STATE,Jason Chaffetz,The former Republican congressman alleges that parts of the federal bureaucracy try to undermine President Trump.,2018-10-07,7,2
THE DEVIL'S CHESSBOARD,David Talbot,"Allen Dulles, the CIA and the rise of America's secret government.",2015-11-08,20,0
THE EDUCATION OF AN IDEALIST,Samantha Power,The Pulitzer Prize-winning author's journey from being an immigrant to being an activist outsider to serving in President Obama’s cabinet.,2019-09-29,4,4
THE EMPIRE AND THE FIVE KINGS,Bernard-Henri Lévy,An analysis of the ways the United States has stepped back from global leadership.,2019-03-17,14,1
THE ENEMY OF THE PEOPLE,Jim Acosta,CNN's chief White House correspondent details his experience covering Donald Trump's presidential campaign and administration.,2019-06-30,10,1
THE FIELD OF FIGHT,Michael T. Flynn and Michael Ledeen,A retired general proposes a plan to defeat radical Islamist terrorism.,2016-08-07,13,1
THE FIFTH RISK,Michael Lewis,How the Trump administration staffs its federal agencies.,2018-10-21,3,14
THE FIGHTERS,C.J. Chivers,Portraits of six American combatants who served in the wars in Afghanistan and Iraq.,2018-09-02,13,1
THE FIRE THIS TIME,Jesmyn Ward,Essays and poems about race in America from a new generation of writers.,2016-09-04,15,1
THE FIRST CONSPIRACY,Brad Meltzer and Josh Mensch,The story of a secret plot to kill George Washington in 1776.,2019-01-27,2,9
THE GATEKEEPERS,Chris Whipple,"The office of the White House chief of staff and its influence, from Nixon to Obama.",2017-04-30,15,1
THE GENE,Siddhartha Mukherjee,An overview of the history and science of genetics by the Pulitzer Prize-winning author of “The Emperor of All Maladies.”,2016-06-05,1,8
THE GENERAL VS. THE PRESIDENT,H. W. Brands,The conflict between President Harry Truman and General Douglas MacArthur during the Korean War.,2016-10-30,16,1
THE GENIUS OF BIRDS,Jennifer Ackerman,Research reveals that many birds rival primates and even humans in their complex forms of intelligence.,2016-05-15,20,0
THE GEOGRAPHY OF GENIUS,Eric Weiner,"The connections between our surroundings and civilization's most creative and innovative ideas, from ancient Athens to modern-day Silicon Valley.",2016-01-31,19,0
THE GHOSTS OF EDEN PARK,Karen Abbott,Prosecutor Mabel Walker Willebrandt and investigator Franklin Dodge’s takedown of bootlegger George Remus during Prohibition.,2019-08-25,11,1
THE GIRL WHO SMILED BEADS,Clemantine Wamariya and Elizabeth Weil,"A child and her sister flee the Rwandan genocide and suffer hardships together in Africa, only to go on different paths as refugees in the United States.",2018-05-13,9,1
THE GIRL WITH THE LOWER BACK TATTOO,Amy Schumer,"Humorous personal essays by the comedian, actor and writer.",2016-09-04,1,16
THE GOOD NEIGHBOR,Maxwell King,"The personal, professional and artistic life of Fred Rogers, the creator and star of “Mister Rogers’ Neighborhood.”",2018-09-23,11,1
THE GRATITUDE DIARIES,Janice Kaplan,The power of deepest appreciation and awareness of blessings to uplift all relationships and experiences in daily life.,2015-09-06,16,0
THE GREAT EQUALIZER,David M. Smick,A call for economic policies that will promote economic growth by encouraging Main Street capitalism (small businesses and start-ups) rather than Wall Street capitalism.,2017-01-29,8,1
THE GREAT WAR OF OUR TIME,Michael Morell with Bill Harlow,A high-level C.I.A. officer assesses the agency’s counterterrorism successes and failures.,2015-05-31,16,1
THE GREATEST LOVE STORY EVER TOLD,Megan Mullally and Nick Offerman,"In a series of intimate conversations between themselves, the authors recount lessons learned from their 18-year romance.",2018-10-21,12,1
THE GUTFELD MONOLOGUES,Greg Gutfeld,A collection of rants by the Fox News host.,2018-08-19,6,2
THE HEARTBEAT OF WOUNDED KNEE,David Treuer,A kaleidoscopic portrait of Native American history from 1890 to the present.,2019-02-10,13,2
THE IMMORTAL IRISHMAN,Timothy Egan,"The life of Thomas Francis Meagher, an Irish revolutionary who led New York's Civil War Irish Brigade.",2016-03-20,4,7
THE IMPORTANCE OF BEING LITTLE,Erika Christakis,What preschoolers really need from grownups.,2016-02-28,19,0
THE INVENTION OF NATURE,Andrea Wulf,"The life of the visionary German explorer, scientist and naturalist, Alexander von Humboldt.",2015-10-18,19,0
THE KINGDOM OF SPEECH,Tom Wolfe,"The novelist argues that, contrary to the theories of Noam Chomsky, there is no evolutionary explanation for language.",2016-09-18,14,1
THE LAST BLACK UNICORN,Tiffany Haddish,The comedian recounts growing up in South Central Los Angeles and finding success after a period of homelessness.,2017-12-24,5,16
THE LAST CASTLE,Denise Kiernan,"The story of Biltmore House, the largest mansion ever built in the United States, and the Vanderbilt family members who lived there.",2017-10-15,11,1
THE LAST LOVE SONG,Tracy Daugherty,A biography of the journalist and novelist Joan Didion.,2015-09-13,11,1
THE LAST OF THE PRESIDENT'S MEN,Bob Woodward,"More revelations from the Nixon White  House, based on documents supplied by Alexander Butterfield, the aide who disclosed Nixon’s taping system.",2015-11-01,8,2
THE LIBRARY BOOK,Susan Orlean,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.,2018-11-04,4,14
THE LIGHT OF THE WORLD,Elizabeth Alexander,The sudden death of her husband inspires the author's love story and quest for meaning.,2015-05-10,17,0
THE LIGHT WITHIN ME,Ainsley Earhardt with Mark Tabb,A memoir by one of the hosts of “Fox & Friends.”,2018-05-13,6,3
THE LINE BECOMES A RIVER,Francisco Cantú,A memoir by a former U.S. Border Patrol agent who is the grandson of a Mexican immigrant.,2018-02-25,15,1
THE MAKING OF DONALD TRUMP,David Cay Johnston,"An in-depth look at the presidential nominee, his real estate career and pivot to politics, drawing on decades of interviews and financial records.",2016-08-21,11,4
THE MAMBA MENTALITY,Kobe Bryant,Various skills and techniques used on the court by the late Los Angeles Lakers player.,2018-11-11,2,6
THE MAN WHO SOLD AMERICA,Joy-Ann Reid,The MSNBC host gives her analysis of Donald Trump’s presidency.,2019-07-14,9,4
THE MATRIARCH,Susan Page,"A biography of the former first lady Barbara Bush, based on interviews and her private diaries.",2019-04-21,3,6
THE MOMENT OF LIFT,Melinda Gates,The philanthropist shares stories of empowering women to improve society.,2019-05-12,3,15
THE MONK OF MOKHA,Dave Eggers,A Yemeni-American doorman travels to a civil war-engulfed Yemen in the hopes of restoring a nearly lost art of coffee cultivation.,2018-02-18,14,1
THE MOST BEAUTIFUL,Mayte Garcia,A reminiscence by Prince’s first wife.,2017-04-23,3,2
THE MOTH PRESENTS OCCASIONAL MAGIC,Catherine Burns,Storytellers from around the world spin tales about facing formidable situations.,2019-04-07,12,1
THE NAME OF GOD IS MERCY,Pope Francis with Andrea Tornielli,"In a conversation with a Vatican reporter, the pontiff explores the cornerstone of his faith.",2016-01-31,2,11
THE ONLY GAME IN TOWN,Mohamed A. El-Erian,A former C.E.O. argues that we must overcome our reliance on central banks and create a sustainable global economy.,2016-02-14,14,1
THE ONLY PIRATE AT THE PARTY,Lindsey Stirling and Brooke S. Passey,"A memoir by the dancing electronic violinist, a social media and YouTube star.",2016-01-31,10,1
THE ONLY PLANE IN THE SKY,Garrett M. Graff,"An oral history of the events that occurred on Sept. 11, 2001, based on transcripts, declassified documents and interviews.",2019-09-29,5,3
THE OPERATOR,Robert O'Neill,The 400-mission career of a SEAL Team operator.,2017-05-14,4,8
THE OREGON TRAIL,Rinker Buck,"The author and his brother travel 2,000 miles by mule and wagon from Missouri to Oregon.",2015-07-19,10,9
THE OUTLAW OCEAN,Ian Urbina,A New York Times investigative reporter examines the difficulties of policing the high seas.,2019-09-08,12,1
THE PARADIGM,Jonathan Cahn,Ancient figures from the Middle East are used to explain the rise and fall of contemporary leaders and events.,2017-10-08,5,4
THE PERFECT HORSE,Elizabeth Letts,The attempt in the closing days of World War II to rescue purebred horses raised for Hitler.,2016-09-11,7,2
THE PIGEON TUNNEL,John le Carré,A memoir by the great spy novelist.,2016-09-25,10,1
THE PIONEERS,David McCullough,The Pulitzer Prize-winning historian tells the story of the settling of the Northwest Territory through five main characters.,2019-05-26,1,19
THE PLOT AGAINST THE PRESIDENT,Lee Smith,A narrative is depicted from the perspective of Representative Devin Nunes.,2019-11-17,7,2
THE PLOT TO DESTROY DEMOCRACY,Malcolm Nance,The former U.S. intelligence officer describes the tools and techniques used by Vladimir Putin to affect the 2016 election.,2018-07-15,6,7
THE POINT OF IT ALL,"Charles Krauthammer, edited by Daniel Krauthammer","A collection of essays, speeches and unpublished writings by the late conservative columnist.",2018-12-23,2,12
THE PRINCESS DIARIST,Carrie Fisher,"Recollections of life on the set of the first Star Wars movie by the actress and writer, who died in December.",2017-01-15,1,6
THE PRIZE,Dale Russakoff,"What happened when Mark Zuckerberg, Chris Christie and Cory Booker took on school reform in Newark, N.J.",2015-09-27,12,1
THE QUARTET,Joseph J. Ellis,"How Washington, Hamilton, Jay and Madison created the Constitution.",2015-05-31,9,10
THE RAINBOW COMES AND GOES,Anderson Cooper and Gloria Vanderbilt,Mother and son discuss their relationship and difficult family history.,2016-04-24,1,12
THE REAPER,Nicholas Irving with Gary Brozek,A memoir by a deadly special operations sniper deployed to Afghanistan.,2015-02-15,6,3
THE RED BANDANNA,Tom Rinaldi,"The life of Welles Crowther, a young equities trader, and his heroism at the World Trade Center on 9/11.",2016-09-25,12,2
THE RESIDENCE,Kate Andersen Brower,"Fifty years of White House style and lore, based on interviews with butlers, maids, chefs and other staff members.",2015-04-26,3,5
THE RESTLESS WAVE,John McCain and Mark Salter,A memoir by the recently deceased Republican senator from Arizona.,2018-06-10,1,7
THE RIGHT SIDE OF HISTORY,Ben Shapiro,The conservative political commentator reflects upon what he considers most impactful to Western civilization.,2019-04-07,1,6
THE ROAD NOT TAKEN,Max Boot,"A re-examination of the covert operative Edward Lansdale and America's involvement in Vietnam, based on declassified documents and hidden letters.",2018-01-28,14,1
THE ROAD TO CHARACTER,David Brooks,The Times columnist extols personal virtues like kindness and honesty in a materialistic age.,2015-05-03,1,22
THE ROAD TO LITTLE DRIBBLING,Bill Bryson,"An American expatriate travels around his adopted country, Britain.",2016-02-07,4,11
THE ROMANOVS,Simon Sebag Montefiore,"A full history of the dynasty, from rise to apogee to fall.",2016-05-22,12,4
THE RUSSIA HOAX,Gregg Jarrett,The Fox News analyst makes his case against the F.B.I. investigation into collusion between the Trump campaign and Russia.,2018-08-12,1,10
THE SECOND MOUNTAIN,David Brooks,A New York Times Op-Ed columnist espouses having an outward focus to attain a meaningful life.,2019-05-05,1,18
THE SECRET WAR,Max Hastings,The increasing importance of intelligence during World War II.,2016-05-29,14,1
THE SILK ROADS,Peter Frankopan,A history of the Central Asian trade routes linking Europe and China offers a new approach to understanding the movement of ideas and goods that shape global civilization.,2016-03-06,19,0
THE SLEEP REVOLUTION,Arianna Huffington,"What scientific research reveals about the dangers of sleep deprivation, and tips for achieving better sleep habits.",2016-04-24,2,6
THE SMEAR,Sharyl Attkisson,"How political operatives, disinformation and media manipulation influence opinions and how people vote.",2017-10-15,13,1
THE SOPRANOS SESSIONS,Matt Zoller Seitz and Alan Sepinwall,Essays and interviews by former TV critics from New Jersey’s Star-Ledger to mark the 20th anniversary of the show’s debut.,2019-01-27,8,1
THE SOUL OF AMERICA,Jon Meacham,The present political climate is contextualized through the lens of difficult moments in American history.,2018-05-27,1,19
THE SOURCE OF SELF-REGARD,Toni Morrison,"A collection of essays and speeches written over four decades, including a eulogy for James Baldwin and the author's Nobel lecture.",2019-03-03,8,7
THE SPY AND THE TRAITOR,Ben Macintyre,"The story of Oleg Gordievsky, a K.G.B. spy who secretly worked for the British intelligence service, and Aldrich Ames, a C.I.A. officer who was a K.G.B. double agent.",2018-10-07,15,1
THE SQUARE AND THE TOWER,Niall Ferguson,The historian uses network theory to understand the past and the present.,2018-02-04,11,1
THE STATE OF AFFAIRS,Esther Perel,An overview of the causes of infidelity and potential positive outcomes.,2017-10-29,10,1
THE STORM BEFORE THE STORM,Mike Duncan,"How corruption, economic inequality and ethnic prejudices were early factors in the fall of the Roman Empire.",2017-11-12,8,1
THE STRANGER IN THE WOODS,Michael Finkel,The story of a hermit who lived by stealing food in the Maine woods for 27 years until caught in 2013.,2017-03-26,8,5
THE SUN DOES SHINE,Anthony Ray Hinton with Lara Love Hardin,A wrongfully imprisoned man on death row becomes a beacon to his fellow inmates.,2018-06-24,3,5
THE SWAMP,Eric Bolling,The Fox News host suggests how Donald Trump can fight corruption and cronyism in Washington.,2017-07-16,4,5
THE TEENAGE BRAIN,Frances E. Jensen with Amy Ellis Nutt,"A neuroscientist looks at adolescent brain development with practical suggestions for those involved with young people, for better negotiating those years.",2015-02-15,10,1
THE TEMPLARS,Dan Jones,A narrative history of a religious order formed after the First Crusade.,2017-10-08,11,1
THE THREAT,Andrew G. McCabe,The former deputy director of the F.B.I. describes major events of his career and the ways the agency works to protect Americans.,2019-03-10,1,4
THE TRIUMPH OF CHRISTIANITY,Bart D. Ehrman,The religious studies professor explores how a new religion came to influence Western society.,2018-04-08,11,1
THE TRUE JESUS,David Limbaugh,The four Gospel stories are combined into a unified account.,2017-04-30,4,3
THE TRUTHS WE HOLD,Kamala Harris,"A memoir by a daughter of immigrants who was raised in Oakland, Calif., and became the second black woman ever elected to the United States Senate.",2019-01-27,4,5
THE UNITED STATES OF TRUMP,Bill O'Reilly,The conservative commentator weaves interviews and personal history to portray the power and influence of the 45th president.,2019-10-13,3,8
THE UNIVERSAL CHRIST,Richard Rohr,An exploration of the meaning of Jesus Christ.,2019-03-24,11,1
THE UNWINDING OF THE MIRACLE,Julie Yip-Williams,"After receiving a terminal cancer diagnosis, a lawyer and mother of two chronicles her life.",2019-02-24,8,2
THE UPSIDE OF INEQUALITY,Edward Conard,A former managing director at Bain Capital argues that the concern about inequality is misguided and will slow growth.,2016-10-02,7,2
THE VANISHING AMERICAN ADULT,Ben Sasse,"The Nebraska Republican senator’s advice on how to raise resilient, responsible children.",2017-06-04,3,4
THE VIETNAM WAR,Geoffrey C. Ward,A companion to the PBS series by Ken Burns and Lynn Novick that looks at the events and the legacy of the war.,2017-09-24,8,4
THE VIEW FROM THE CHEAP SEATS,Neil Gaiman,"Essays on topics like art, dreams, myth and memories.",2016-06-19,10,2
THE WAR ON COPS,Heather Mac Donald,"The author expands on her reporting on the ""Ferguson effect,"" the criminal-justice system and the Black Lives Matter movement.",2016-08-14,10,2
THE WAY I HEARD IT,Mike Rowe,The television personality relays stories from his podcast and personal anecdotes.,2019-11-03,4,7
THE WITCHES,Stacy Schiff,An account of the Salem witch trials of 1692.,2015-11-15,2,12
THE WORK,Wes Moore,"A man's quest for a meaningful life through critical moments and places in recent history, from Afghanistan to the White House and Wall Street.",2015-02-01,18,0
THE WORLD ACCORDING TO STAR WARS,Cass R. Sunstein,"A look at the various ways the movie franchise illuminates political, moral, and familial themes.",2016-06-19,13,1
THE WORLD AS IT IS,Ben Rhodes,A memoir by the former speechwriter and deputy national security advisor to President Obama.,2018-06-24,6,4
THE WRIGHT BROTHERS,David McCullough,The story of the bicycle mechanics from Ohio who ushered in the age of flight.,2015-05-24,1,36
THE YEAR OF VOTING DANGEROUSLY,Maureen Dowd,Essays on the 2016 election by the New York Times columnist.,2016-10-02,14,1
