Title,Authors,Description,First Day On List,Highest Rank,Weeks On List
DEAR IJEAWELE,Chimamanda Ngozi Adichie,"A feminist manifesto in 15 suggestions for empowering a daughter to become a strong, independent woman.",2017-03-26,4,3
DEATH OF A NATION,Dinesh D'Souza,"A companion text to the conservative author and filmmaker’s documentary, which offers an alternative history of the Democratic Party.",2018-08-19,5,4
DEEP DOWN DARK,Héctor Tobar,"An account, based on interviews, of the experience of the 33 Chilean miners who were trapped underground for 69 days in 2010 and, incredibly, rescued.",2015-01-11,7,7
DEEP SOUTH,Paul Theroux,"In his 10th travel book, Theroux journeys in the rural American South.",2015-10-18,12,2
DEEP STATE,James B. Stewart,The New York Times columnist gives a deconstruction of the various accounts of what happened leading up to the 2016 presidential election.,2019-10-27,9,1
DEMOCRACY,Condoleezza Rice,The former secretary of state argues that the promotion of democracy should shape America’s foreign policy.,2017-05-28,4,3
DESTINY AND POWER,Jon Meacham,A biography of George H.W. Bush.,2015-11-29,1,7
DEVIL'S BARGAIN,Joshua Green,"A deeply reported account of the relationship between Donald Trump and his strategist, Steve Bannon.",2017-08-06,1,6
DIGITAL DESTINY,Shawn DuBravac,An economist argues that technology will transform our daily lives and solve many of mankind's problems.,2015-02-01,10,1
DIRECTORATE S,Steve Coll,How the United States failed to understand a secret wing of a Pakistani intelligence agency and doomed two wars.,2018-02-25,4,4
DISRUPTED,Dan Lyons,"A longtime tech writer, age 52, takes a job at a start-up called HubSpot.",2016-04-24,15,2
DO I MAKE MYSELF CLEAR?,Harold Evans,Advice on writing well from a noted editor.,2017-06-04,13,2
DO NO HARM,Henry Marsh,"Stories of life, death and operating on the brain from the neurosurgeon featured in the documentary film “The English Surgeon.”",2015-06-14,14,1
DO YOU MIND IF I CANCEL?,Gary Janetti,Comedic essays on everyday life by a writer and producer for television.,2019-11-10,15,1
DODGE CITY,Tom Clavin,"This history of the “wickedest town in the West,” full of colorful characters, focuses on Wyatt Earp and Bat Masterson.",2017-03-19,13,2
DOING JUSTICE,Preet Bharara,The former U.S. Attorney for the Southern District of New York describes some of his career highlights and gives insights into our legal system.,2019-04-07,4,3
"DON'T GIVE UP, DON'T GIVE IN",Louis Zamperini and David Rensin,Advice and observations from the Olympic champion and World War II survivor.,2015-01-18,9,2
DON'T STOP BELIEVIN',Olivia Newton-John,"The Grammy Award-winner discusses her success in music and movies, and how she contended with recurrent breast cancer.",2019-03-31,12,1
DOWN THE RABBIT HOLE,Holly Madison,"Life inside the Playboy Mansion, by a former bunny and girlfriend of Hugh Hefner.",2015-07-12,2,9
DREAMERS AND DECEIVERS,Glenn Beck with Kevin Balfe,More little-known stories from America’s past.,2015-01-04,13,7
DUMPTY,John Lithgow,The multi-award-winning actor satirizes the Trump administration with a collection of poems and illustrations.,2019-11-10,3,3
EDGE OF CHAOS,Dambisa Moyo,A case for why economic growth is important to global stability and the need to reform democracy.,2018-05-13,13,1
EDISON,Edmund Morris,"The Pulitzer Prize-winning author chronicles the personal life, inventions and obsessions of Thomas Alva Edison.",2019-11-17,15,1
EDUCATED,Tara Westover,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",2018-03-11,1,95
ENDURANCE,Scott Kelly,A memoir by the retired astronaut and former commander of the International Space Station.,2017-11-05,5,10
EVERY DAY IS EXTRA,John Kerry,"A memoir by the former Massachusetts senator, secretary of state and 2004 Democratic presidential nominee.",2018-09-23,5,3
EVERY LITTLE STEP,Bobby Brown with Nick Chiles,"The performer looks back at his career, his tumultuous marriage to Whitney Houston and his relationship with their daughter, Bobbi Kristina.",2016-07-03,9,2
EVERY MAN A HERO,Ray Lambert and Jim DeFelice,A firsthand account of two brothers who served in the Army during D-Day.,2019-06-23,13,2
EVERY TOOL'S A HAMMER,Adam Savage,The star of “MythBusters” shares his tools for creativity.,2019-05-26,9,1
EVERYTHING HAPPENS FOR A REASON,Kate Bowler,A divinity school professor examines her tacit beliefs when she learns she has late-stage colon cancer.,2018-02-25,6,5
EVERYTHING TRUMP TOUCHES DIES,Rick Wilson,The Republican political campaign strategist gives his take on the current president and offers a way forward for conservatives.,2018-08-26,3,3
EVICTED,Matthew Desmond,How poor people repeatedly lose their homes while landlords profit.,2016-03-20,6,5
EXCEPTIONAL,Dick Cheney and Liz Cheney,The former vice president and his daughter chart their vision for a formidable future America.,2015-09-20,3,3
EXONERATED,Dan Bongino,The Fox News contributor and former Secret Service agent gives his take on the Mueller investigation.,2019-10-13,12,2
FACE IT,Debbie Harry,A memoir by the lead singer of Blondie and downtown New York City icon.,2019-10-20,11,1
FACTFULNESS,Hans Rosling with Ola Rosling and Anna Rosling Ronnlund,A look at our biases and how the world is in a better state than we might think.,2018-04-22,5,14
FACTS AND FEARS,James R. Clapper with Trey Brown,The former director of national intelligence describes events that challenged the intelligence community and considers some ethical questions around its efforts.,2018-06-10,3,2
FAITH,Jimmy Carter,"The former president discusses the broader meaning of faith and its effect on our lives, including its religious aspects.",2018-04-15,7,2
FALL AND RISE,Mitchell Zuckoff,A minute-by-minute account of the events of 9/11 interwoven with stories from victims and survivors.,2019-05-19,13,1
FANTASYLAND,Kurt Andersen,"The politics and culture of 21st-century America are put in the context of five centuries of historical events and movements, including elements of conspiracy theories, crackpot ideas and hucksterism.",2017-09-24,3,4
FASCISM: A WARNING,Madeleine Albright with Bill Woodward,The former secretary of state examines the legacy of fascism in the 20th century and its potential revival.,2018-04-29,1,9
FASHION CLIMBING,Bill Cunningham,The New York Times fashion and society photographer's posthumous memoir.,2018-09-23,14,1
FAST GIRL,Suzy Favor Hamilton with Sarah Tomlinson,Bipolar disorder drove a former Olympic runner to become a high-priced Las Vegas escort.,2015-10-04,4,2
FEAR,Bob Woodward,"Based on hours of interviews with sources, the Pulitzer Prize-winning journalist describes debates and decision-making within the Trump White House.",2018-09-30,1,18
FIGURING,Maria Popova,The achievements and private relationships of several interconnecting historical figures.,2019-02-24,5,2
FILTHY RICH,James Patterson and John Connolly with Tim Malloy,The story of a South Florida financier convicted of soliciting sex from underage girls.,2016-10-30,3,5
FINDING CHIKA,Mitch Albom,Lessons learned by the Alboms when they bring a Haitian orphan with a life-threatening illness into their family.,2019-11-24,2,6
